qid	gold_evidence_ids	retrieved_topk_ids	in_context_ids	overlap_topk	overlap_in_context
e9a21d20-3a8c-47ee-bae8-2682720ec526	Paris (actor under Domitian)	Under Paris|Under Paris|Marina Baker|Under Paris|Hate Man|Claire Denis|Melinda and Melinda|Kekko Fornarelli|Honor Harger|Albert Bates	Under Paris|Under Paris|Marina Baker|Under Paris|Hate Man|Claire Denis|Melinda and Melinda|Kekko Fornarelli|Honor Harger	0	0
80a1cedb-aec4-468d-81ec-9d3ef02a8145	Fairfax M. Cone	Fairfax M. Cone|John Floyd (Georgia politician)|Charles Joseph Bonaparte|Eustace Mullins|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Charles Joseph Bonaparte|J. J. P. Corrigan|A. Lawrence Kocher|Edwin N. Hubbell	Fairfax M. Cone|John Floyd (Georgia politician)|Charles Joseph Bonaparte|Eustace Mullins|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Charles Joseph Bonaparte|J. J. P. Corrigan|A. Lawrence Kocher	1	1
d423a7eb-9ba3-4492-aec2-d47c6a5161f2	Albert Bates	Albert Bates|Albert Bates|Albert Bates|Albert Bates|Albert Bates|Glenn Albrecht|Hate Man|Eustace Mullins|John Esslemont|A. Lawrence Kocher	Albert Bates|Albert Bates|Albert Bates|Albert Bates|Albert Bates|Glenn Albrecht|Hate Man|Eustace Mullins|John Esslemont	1	1
f80d260e-da2b-4eeb-b123-4646f089d609	Heath (musician)	Hate Man|William Harvey|Heath (musician)|Marina Baker|Melinda and Melinda|John Esslemont|Jim Boyd (newscaster)|Lillian Heath|Huntington Harbour, Huntington Beach, California|Robert Antoine	Hate Man|William Harvey|Heath (musician)|Marina Baker|Melinda and Melinda|John Esslemont|Jim Boyd (newscaster)|Lillian Heath|Huntington Harbour, Huntington Beach, California	1	1
39576651-e3e0-4925-b6e4-1ca30630ee22	Yoshiki Tonogai	Akino Arai|Yoshikawa Akimasa|Kaneko|Heath (musician)|Akari Hayami|Yoshikawa Akimasa|Ai (poet)|Heath (musician)|Heath (musician)|Kekko Kamen	Akino Arai|Yoshikawa Akimasa|Kaneko|Heath (musician)|Akari Hayami|Yoshikawa Akimasa|Ai (poet)|Heath (musician)|Heath (musician)|Kekko Kamen	0	0
c005f888-4c96-44f4-875b-a769cbd6e20c	Thomas R. Whitney	Thomas R. Whitney|Willis R. Whitney|Hate Man|Jim Boyd (newscaster)|A. Lawrence Kocher|Eustace Mullins|Charles Joseph Bonaparte|Edward Winslow|Fairfax M. Cone|Huntington Wilson	Thomas R. Whitney|Willis R. Whitney|Hate Man|Jim Boyd (newscaster)|A. Lawrence Kocher|Eustace Mullins|Charles Joseph Bonaparte|Edward Winslow|Fairfax M. Cone	1	1
83eab852-6fa6-4276-af14-18d778ec1190	Edwin Wallock	Edward Winslow|Edwin H. Colbert|Edwin Hubbell Chapin|Hate Man|Jim Boyd (newscaster)|Eustace Mullins|Edwin N. Hubbell|Edwin Borchard|A. Lawrence Kocher|Edward Norton	Edward Winslow|Edwin H. Colbert|Edwin Hubbell Chapin|Hate Man|Jim Boyd (newscaster)|Eustace Mullins|Edwin N. Hubbell|Edwin Borchard|A. Lawrence Kocher	0	0
57972309-2b29-48eb-a6c3-cbdaeda41a84	Tsutomu Seki	Seki Takakazu|Yoshikawa Akimasa|Kaneko|Kekko Kamen|Yoshikawa Akimasa|Kekko Kamen|Aizawa Seishisai|Ai (poet)|Yoshiki Nakai|Kekko Kamen	Seki Takakazu|Yoshikawa Akimasa|Kaneko|Kekko Kamen|Yoshikawa Akimasa|Kekko Kamen|Aizawa Seishisai|Ai (poet)|Yoshiki Nakai|Kekko Kamen	0	0
68d9ab39-5f61-4047-83c6-7e07bba03a83	Matthew McKay (politician)	Hate Man|ELIZA|Glenn Albrecht|Melinda and Melinda|Jim Boyd (newscaster)|John Esslemont|Marina Baker|Marina Baker|Ai (poet)|Richard Faith	Hate Man|ELIZA|Glenn Albrecht|Melinda and Melinda|Jim Boyd (newscaster)|John Esslemont|Marina Baker|Marina Baker|Ai (poet)	0	0
47335a90-c4ce-4bec-9871-a2ed211283cc	Dominick Bellizzi	Domenico Bellizzi|Kekko Fornarelli|Atto Melani|Duilio Forte|Duilio Forte|Belarmino|Zanni|Brendan Canty|Jim Boyd (newscaster)|Rinaldo del Mel	Domenico Bellizzi|Kekko Fornarelli|Atto Melani|Duilio Forte|Duilio Forte|Belarmino|Zanni|Brendan Canty|Jim Boyd (newscaster)|Rinaldo del Mel	0	0
