qid	gold_evidence_ids	retrieved_topk_ids	in_context_ids	overlap_topk	overlap_in_context
e9a21d20-3a8c-47ee-bae8-2682720ec526	Paris (actor under Domitian)	Marina Baker|Hate Man|Melinda and Melinda|Under Paris|Claire Denis|Marina Baker|Jim Boyd (newscaster)|Fritz Goos|Claire Denis|Charles Joseph Bonaparte	Marina Baker|Hate Man|Melinda and Melinda|Under Paris|Claire Denis|Marina Baker|Jim Boyd (newscaster)|Fritz Goos|Claire Denis	0	0
80a1cedb-aec4-468d-81ec-9d3ef02a8145	Fairfax M. Cone	Fairfax M. Cone|Charles Joseph Bonaparte|John Floyd (Georgia politician)|Charles Joseph Bonaparte|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Hate Man|J. J. P. Corrigan|Charles Joseph Bonaparte|Edwin N. Hubbell	Fairfax M. Cone|Charles Joseph Bonaparte|John Floyd (Georgia politician)|Charles Joseph Bonaparte|John Floyd (Georgia politician)|Jim Boyd (newscaster)|Hate Man|J. J. P. Corrigan|Charles Joseph Bonaparte	1	1
d423a7eb-9ba3-4492-aec2-d47c6a5161f2	Albert Bates	Albert Bates|Albert Bates|Albert Bates|Albert Bates|Hate Man|Albert Bates|Glenn Albrecht|Marina Baker|Jim Boyd (newscaster)|Ai (poet)	Albert Bates|Albert Bates|Albert Bates|Albert Bates|Hate Man|Albert Bates|Glenn Albrecht|Marina Baker|Jim Boyd (newscaster)	1	1
f80d260e-da2b-4eeb-b123-4646f089d609	Heath (musician)	Hate Man|Heath (musician)|Marina Baker|Melinda and Melinda|Jim Boyd (newscaster)|Lillian Heath|William Harvey|Fritz Goos|William Murray, 1st Earl of Mansfield|Marina Baker	Hate Man|Heath (musician)|Marina Baker|Melinda and Melinda|Jim Boyd (newscaster)|Lillian Heath|William Harvey|Fritz Goos|William Murray, 1st Earl of Mansfield	1	1
39576651-e3e0-4925-b6e4-1ca30630ee22	Yoshiki Tonogai	Heath (musician)|Ai (poet)|Yoshikawa Akimasa|Akino Arai|Kaneko|Yoshikawa Akimasa|Heath (musician)|Yoshiki Nakai|Heath (musician)|Akari Hayami	Heath (musician)|Ai (poet)|Yoshikawa Akimasa|Akino Arai|Kaneko|Yoshikawa Akimasa|Heath (musician)|Yoshiki Nakai|Heath (musician)|Akari Hayami	0	0
c005f888-4c96-44f4-875b-a769cbd6e20c	Thomas R. Whitney	Thomas R. Whitney|Hate Man|Willis R. Whitney|Jim Boyd (newscaster)|Charles Joseph Bonaparte|Charles Joseph Bonaparte|Huntington Wilson|John Floyd (Georgia politician)|John Myers Myers|Charles Joseph Bonaparte	Thomas R. Whitney|Hate Man|Willis R. Whitney|Jim Boyd (newscaster)|Charles Joseph Bonaparte|Charles Joseph Bonaparte|Huntington Wilson|John Floyd (Georgia politician)|John Myers Myers	1	1
83eab852-6fa6-4276-af14-18d778ec1190	Edwin Wallock	Hate Man|Edwin Hubbell Chapin|Jim Boyd (newscaster)|Edwin N. Hubbell|Edwin Borchard|Charles Joseph Bonaparte|Edward Norton|Charles Joseph Bonaparte|John Floyd (Georgia politician)|Melinda and Melinda	Hate Man|Edwin Hubbell Chapin|Jim Boyd (newscaster)|Edwin N. Hubbell|Edwin Borchard|Charles Joseph Bonaparte|Edward Norton|Charles Joseph Bonaparte|John Floyd (Georgia politician)	0	0
57972309-2b29-48eb-a6c3-cbdaeda41a84	Tsutomu Seki	Seki Takakazu|Kaneko|Yoshikawa Akimasa|Yoshikawa Akimasa|Ai (poet)|Yoshiki Nakai|Nosrat Karimi|James Msekela|Fritz Goos|Heath (musician)	Seki Takakazu|Kaneko|Yoshikawa Akimasa|Yoshikawa Akimasa|Ai (poet)|Yoshiki Nakai|Nosrat Karimi|James Msekela|Fritz Goos	0	0
68d9ab39-5f61-4047-83c6-7e07bba03a83	Matthew McKay (politician)	Hate Man|Melinda and Melinda|Marina Baker|Jim Boyd (newscaster)|Richard Faith|Ai (poet)|Edward Norton|Marina Baker|Brendan Canty|Glenn Albrecht	Hate Man|Melinda and Melinda|Marina Baker|Jim Boyd (newscaster)|Richard Faith|Ai (poet)|Edward Norton|Marina Baker|Brendan Canty	0	0
47335a90-c4ce-4bec-9871-a2ed211283cc	Dominick Bellizzi	Domenico Bellizzi|Kekko Fornarelli|Atto Melani|Duilio Forte|Jim Boyd (newscaster)|Duilio Forte|Charles Joseph Bonaparte|Charles Joseph Bonaparte|Belarmino|Brendan Canty	Domenico Bellizzi|Kekko Fornarelli|Atto Melani|Duilio Forte|Jim Boyd (newscaster)|Duilio Forte|Charles Joseph Bonaparte|Charles Joseph Bonaparte|Belarmino	0	0
